domain,prob_male,prob_female
anninhthudo.vn,0.668,0.332
baoduhoc.vn,0.656,0.344
bilutv.com,0.543,0.457
biphim.com,0.624,0.376
blueserving.com,0.57,0.43
camnanggiadinh.com.vn,0.396,0.604
dep.com.vn,0.339,0.661
depplus.vn,0.693,0.307
deptoday.net,0.677,0.323
diendanlequydon.com,0.196,0.804
docbao.vn,0.659,0.341
doisongphapluat.com,0.61,0.39
elib.vn,0.443,0.557
giadinhvietnam.com,0.567,0.433
giadinhvietnam.com,0.567,0.433
hdonline.vn,0.593,0.407
ictnews.vn,0.649,0.351
infonet.vn,0.58,0.42
netnews.vn,0.54,0.46
newsen.vn,0.484,0.516
phimnhanh.com,0.701,0.299
phununet.com,0.488,0.512
phununews.vn,0.57,0.43
phunuonline.com.vn,0.558,0.442
phunuvagiadinh.vn,0.543,0.457
saoonline.vn,0.478,0.522
suckhoedoisong.vn,0.536,0.464
tailieu.vn,0.501,0.499
taiphimhd.net,0.93,0.07
techz.vn,0.682,0.318
thanhnien.vn,0.649,0.351
thethao247.vn,0.798,0.202
thethaovanhoa.vn,0.657,0.343
tiin.vn,0.476,0.524
tinmoi.vn,0.628,0.372
tintuc.vn,0.558,0.442
total,0.578,0.422
truyentranh8.com,0.409,0.591
tuoitre.vn,0.637,0.363
vforum.vn,0.63,0.37
vkool.net,0.634,0.366
vtc.vn,0.595,0.405
vuighe.net,0.683,0.317
xinhxinh.vn,0.488,0.512
yan.vn,0.544,0.456
yeunoitro.net,0.479,0.521
yeutre.vn,0.405,0.595
